iter	Passed	Remaining
323	1689	3525
324	1694	3520
325	1699	3513
326	1702	3504
327	1707	3498
328	1712	3493
329	1717	3487
330	1723	3483
331	1726	3473
332	1730	3466
333	1734	3457
334	1738	3450
335	1741	3442
336	1745	3434
337	1749	3425
338	1752	3417
339	1758	3414
340	1765	3411
341	1772	3409
342	1778	3407
343	1790	3414
344	1794	3407
345	1799	3402
346	1805	3396
347	1810	3391
348	1815	3387
349	1822	3384
350	1826	3376
351	1831	3372
352	1835	3364
353	1842	3361
354	1847	3356
355	1851	3348
356	1857	3345
357	1863	3341
358	1866	3333
359	1872	3328
360	1877	3324
361	1881	3316
362	1888	3313
363	1893	3308
364	1897	3301
365	1902	3296
366	1908	3292
367	1914	3288
368	1921	3285
369	1927	3282
370	1931	3274
371	1936	3268
372	1941	3263
373	1945	3255
374	1948	3248
375	1954	3243
376	1960	3240
377	1968	3239
378	1976	3237
379	1983	3236
380	1993	3238
381	1997	3231
382	2001	3224
383	2006	3218
384	2010	3211
385	2015	3205
386	2020	3201
387	2024	3193
388	2028	3185
389	2033	3180
390	2038	3174
391	2041	3166
392	2046	3160
393	2051	3155
394	2055	3148
395	2059	3141
396	2063	3134
397	2069	3129
398	2072	3122
399	2077	3116
400	2083	3112
401	2088	3106
402	2092	3099
403	2097	3094
404	2102	3088
405	2105	3080
406	2110	3075
407	2116	3070
408	2119	3062
409	2123	3055
410	2127	3049
411	2132	3043
412	2136	3036
413	2142	3033
414	2151	3032
415	2159	3032
416	2166	3028
417	2174	3027
418	2182	3025
419	2185	3018
420	2190	3012
